Configuration;BerkeleyDb;BerkeleyDB;FLogging;Logging;featureLoggingFile;featureLoggingConsole;featureLoggingDbLog;featureLoggingFinest;featureLoggingFiner;featureLoggingFine;featureLoggingInfo;featureLoggingConfig;featureLoggingSevere;featureLoggingBase;FPersistency;Persistency;FPersistencyFeatures;featureChecksum;featureFileHandleCache;featureHandleFullDiscError;featureEnvironmentLock;Checkpointer;featureCustomizableCheckpointerTime;featureCustomizableCheckpointerBytes;featureCheckpointerDaemon;Cleaner;featureLookAheadCache;featureCleanerDaemon;FIOFeature;NIO;featureDirectNIO;FNIOType;featureNIO;featureChunkedNIO;IO;featureSynchronizedIO;featureIO;FStatistics;Statistics;FStatisticsFeatures;EnvStats;featureStatisticsEnvLog;featureStatisticsEnvINCompressor;featureStatisticsEnvFSync;featureStatisticsEnvEvictor;featureStatisticsEnvCleaner;featureStatisticsEnvCheckpointer;featureStatisticsEnvCaching;featureStatisticsEnvBase;featureStatisticsDatabase;featureStatisticsLock;featureStatisticsPreload;featureStatisticsSequence;featureStatisticsTransaction;featureStatisticsBase;featureMemoryBudget;FConcurrency;featureLatch;featureFSync;featureTransaction;dummyFeatureLocking;featureCheckLeaks;FDbOperation;featureDeleteDb;featureTruncateDb;FBtree;BTree;featureVerifier;featureTreeVisitor;featureINCompressor;FEvictor;Evictor;featureCriticalEviction;featureEvictorDaemon;featureEvictor;BASE
0;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;-;+;+;+;-;-;-;-;-;+;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;+;-;-;-;-;-;+
1;+;+;+;+;+;-;-;-;+;-;+;+;-;+;+;+;+;+;+;-;+;+;+;+;-;-;-;-;+;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;-;+;-;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
2;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;-;+;-;-;-;+;+;-;-;-;+;+;+;+;+;-;-;-;-;-;+
3;+;+;+;+;+;+;+;-;-;+;+;-;+;+;+;+;+;+;+;-;+;+;-;-;-;+;+;+;+;+;-;+;+;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
4;+;+;+;+;+;+;+;-;-;+;-;-;-;+;+;+;+;-;+;-;-;-;-;-;-;+;-;+;+;-;-;-;-;-;+;+;+;+;+;+;+;-;-;+;-;+;-;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
5;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;+;+;+;+;-;-;-;-;+;-;-;-;-;-;+;+;+;+;+;+;+;+;-;-;-;+;-;-;+;+;-;+;+;-;+;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+
6;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;-;-;+;+;+;-;+;-;+;+;+;+;+;+;-;-;-;-;+;+;+;+;-;+;+;-;+;-;-;+;-;+;+;-;-;+;-;+;-;+;-;+;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+
7;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-;+;-;-;+;+;-;-;+;+;-;+;-;+;-;-;-;+;+;+;+;+;+;-;-;+;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+
8;+;+;+;+;+;+;+;-;+;+;+;+;-;+;+;+;+;+;+;-;-;-;-;-;-;+;+;-;+;+;-;+;-;+;-;-;-;+;+;+;+;+;-;-;+;+;+;-;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
9;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;+;+;+;+;+;+;-;+;+;+;-;+;-;+;-;-;-;+;+;+;+;+;-;+;-;-;+;-;+;-;+;-;-;-;+;-;+;-;+;-;+;+;-;-;-;+;+;-;-;-;-;-;-;-;-;+
