Configuration;SvgMapApp;L2Build;Layers;ColorRegion;Relief;Rivers;Lakes;PopCircle;Legends;Controls;Navigator;ReliefControls;RiverControls;LakeControls;PopCircleControls;CoordinateDisplay;Stats1;AgeChart;StatsMedianAge;EthnicBarChart;EthnicPieChart;Stats2;StatsSex;StatsHouseholds;StatsPopulation;Legend;USStates;Base
0;+;-;+;-;+;+;+;-;+;+;+;-;+;+;-;-;+;-;+;+;-;+;+;+;+;+;+;+
1;+;+;+;-;+;-;+;+;+;+;+;+;-;+;+;+;+;+;-;-;-;+;-;+;+;+;+;+
2;+;+;+;-;-;+;-;-;+;+;-;-;+;-;-;+;+;-;+;-;+;+;-;-;+;+;+;+
3;+;-;+;-;+;+;+;+;+;+;-;+;-;+;+;-;+;+;+;-;+;-;-;-;-;+;+;+
4;+;-;+;-;-;+;+;+;+;+;+;-;-;-;+;-;+;-;+;+;-;-;-;-;-;+;+;+
5;+;+;+;+;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+
6;+;+;+;+;+;-;-;-;+;+;-;+;-;-;-;+;-;-;-;-;-;+;+;+;+;+;+;+
7;+;+;+;-;+;-;+;-;+;-;-;-;-;-;-;-;+;+;-;-;+;+;+;+;+;+;+;+
8;+;-;+;+;-;-;-;-;+;-;-;-;-;-;-;-;+;+;+;+;-;-;-;-;-;+;+;+
9;+;-;+;-;-;+;+;+;+;+;+;-;+;+;+;+;-;-;-;-;-;+;+;+;-;+;+;+
10;+;-;+;-;+;+;+;+;+;+;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;+;+
11;+;-;+;-;-;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+
12;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+
13;+;-;+;+;-;+;-;+;+;+;+;-;+;-;+;+;+;-;-;+;+;-;-;-;-;+;+;+
